country,gdp,population
Paraguay,41952910858.08 ,6760464 
West Bank and Gaza,19165500000.00 ,5043612 
French Polynesia,5622688338.06 ,280378 
Qatar,235709340659.34 ,2657333 
Romania,295319437556.99 ,19048502 
Russian Federation,2291612121334.64 ,144236933 
Rwanda,13316161002.39 ,13651030 
Saudi Arabia,1239075200000.00 ,32175224 
Sudan,51666875363.10 ,49383346 
Senegal,27783332222.68 ,17651103 
Singapore,509017841146.56 ,5637022 
Solomon Islands,1466670929.62 ,781066 
Sierra Leone,7121125277.53 ,8276807 
El Salvador,31870120000.00 ,6280319 
San Marino,1829211863.95 ,33755 
"Somalia, Fed. Rep.",10203000000.00 ,17801897 
Serbia,66809895701.22 ,6664449 
South Sudan,,11021177 
Sao Tome and Principe,540809499.19 ,226305 
Suriname,3791603200.03 ,623164 
Slovak Republic,115792972358.21 ,5431752 
Slovenia,59899117741.00 ,2112076 
Sweden,575071237640.92 ,10486941 
Eswatini,4746660273.51 ,1218917 
Sint Maarten (Dutch part),1592564639.33 ,42139 
Seychelles,2018346588.74 ,119878 
Syrian Arab Republic,23622827079.50 ,22462173 
Turks and Caicos Islands,1434119000.00 ,45847 
Chad,17828508289.60 ,18455316 
Togo,8646453099.41 ,9089738 
Thailand,495644697587.66 ,71735329 
Tajikistan,10713525200.40 ,10182222 
Turkmenistan,42208726137.72 ,7230193 
Timor-Leste,3208599889.01 ,1369295 
Tonga,556514555.40 ,105042 
Trinidad and Tobago,28341164301.13 ,1365805 
Tunisia,44929920092.80 ,12119334 
Turkiye,926097476913.82 ,84979913 
Tuvalu,59065982.09 ,9992 
Tanzania,75749121842.91 ,64711821 
Uganda,45565333210.91 ,47312719 
Ukraine,161989520721.19 ,41048766 
Uruguay,70594110920.04 ,3390913 
United States,25604848907611.00 ,334017321 
Uzbekistan,90095926567.44 ,34938955 
St. Vincent and the Grenadines,989188888.89 ,102046 
"Venezuela, RB",89013255584.75 ,28213017 
British Virgin Islands,,38319 
Virgin Islands (U.S.),4672000000.00 ,105413 
Viet Nam,413445230668.58 ,99680655 
Vanuatu,1055031360.57 ,313046 
Samoa,889554711.84 ,215261 
Kosovo,9354907646.30 ,1768096 
"Yemen, Rep.",,38222876 
South Africa,407596043067.89 ,62378410 
Zambia,29163782140.49 ,20152938 
Zimbabwe,40757561708.77 ,16069056
